,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,925,789,607,471,387,427,855,847,1128,387,299,559,723,474,507,526,924,438,454
1,720,0,869,421,688,749,965,773,981,1002,645,773,796,955,807,980,466,332,783,513
2,954,587,0,753,450,595,479,137,212,388,686,598,310,469,1056,495,678,586,1035,753
3,485,479,699,0,396,464,762,764,757,1035,365,456,593,751,572,765,148,478,548,228
4,585,724,492,393,0,206,490,557,550,834,312,224,321,479,686,517,301,723,646,379
5,486,879,457,441,220,0,300,564,578,846,221,133,187,351,588,316,360,878,570,288
6,577,1200,613,803,559,491,0,749,624,1001,583,495,342,448,597,227,722,1198,562,650
7,957,479,187,704,482,648,652,0,355,382,716,652,483,642,1059,668,628,478,1036,681
8,908,835,292,707,405,572,451,447,0,680,663,575,282,287,1010,466,636,834,987,730
9,1138,660,416,867,652,818,851,356,584,0,910,822,681,840,1240,866,791,659,1216,844
10,265,658,722,220,390,308,498,787,780,1049,0,214,480,644,367,512,139,657,344,67
11,354,747,615,308,279,191,387,680,673,954,88,0,369,533,456,400,227,745,432,155
12,647,856,269,493,201,297,276,406,449,658,382,294,0,258,749,293,394,855,722,449
13,745,1069,482,699,429,388,306,619,476,871,480,391,212,0,847,215,619,1068,812,546
14,315,1040,834,636,507,416,420,927,907,1222,416,328,563,727,0,518,555,1038,335,483
15,598,1158,571,749,518,437,199,708,585,960,529,441,301,341,633,0,668,1157,597,596
16,453,548,583,177,332,405,680,648,641,940,297,402,511,670,555,696,0,547,532,174
17,721,1,870,423,689,750,966,774,982,1003,646,774,797,956,808,982,467,0,785,514
18,187,790,969,457,638,558,588,1034,1027,1314,344,463,715,879,178,662,470,789,0,397
19,426,621,655,179,328,360,656,720,713,1013,257,367,482,638,519,672,72,620,495,0
